date,hour,sales,profit,region,state,category,type,caffeination
6/23/2010,5,298,83,Central,CO,Herbal Tea,Chamomile,Decaf
6/23/2010,6,107,7,Central,CO,Herbal Tea,Lemon,Decaf
6/29/2010,7,118,24,Central,CO,Herbal Tea,Mint,Decaf
6/14/2010,8,230,99,Central,IL,Tea,Darjeeling,Regular
6/24/2010,9,135,33,Central,IL,Tea,Earl Grey,Regular
6/13/2010,10,634,241,Central,IL,Espresso,Caffe Mocha,Regular
6/29/2010,11,521,164,Central,IL,Espresso,Decaf Espresso,Decaf
6/1/2010,12,478,167,Central,IL,Coffee,Columbian,Regular
6/30/2010,13,345,135,Central,IL,Coffee,Decaf Irish Cream,Decaf
6/18/2010,14,276,121,Central,IL,Herbal Tea,Chamomile,Decaf
6/11/2010,15,190,67,Central,IL,Herbal Tea,Lemon,Decaf
6/17/2010,16,301,133,Central,IL,Herbal Tea,Mint,Decaf
6/9/2010,17,521,164,Central,IA,Tea,Darjeeling,Regular
6/5/2010,18,603,197,Central,IA,Tea,Earl Grey,Regular
6/20/2010,19,53,15,Central,IA,Espresso,Caffe Mocha,Regular
6/21/2010,20,43,31,Central,IA,Espresso,Decaf Espresso,Decaf
6/24/2010,21,58,18,Central,IA,Coffee,Amaretto,Regular
6/11/2010,22,70,8,Central,IA,Coffee,Columbian,Regular
6/8/2010,23,52,11,Central,IA,Coffee,Decaf Irish Cream,Decaf
6/11/2010,0,634,241,Central,IA,Herbal Tea,Chamomile,Decaf
6/10/2010,1,345,136,Central,IA,Herbal Tea,Lemon,Decaf
6/28/2010,2,96,14,Central,MO,Tea,Darjeeling,Regular
6/23/2010,3,78,3,Central,MO,Tea,Earl Grey,Regular
6/9/2010,4,82,0,Central,MO,Tea,Green Tea,Regular
6/19/2010,5,92,33,Central,MO,Espresso,Caffe Mocha,Regular
6/23/2010,6,89,31,Central,MO,Espresso,Decaf Espresso,Decaf
6/26/2010,7,169,31,Central,MO,Coffee,Columbian,Regular
6/28/2010,8,142,35,Central,MO,Coffee,Decaf Irish Cream,Decaf
6/18/2010,9,125,4,Central,MO,Herbal Tea,Chamomile,Decaf
6/3/2010,10,141,33,Central,MO,Herbal Tea,Lemon,Decaf
6/7/2010,11,278,99,Central,OH,Tea,Darjeeling,Regular
6/27/2010,12,282,105,Central,OH,Tea,Earl Grey,Regular
6/13/2010,13,298,83,Central,OH,Espresso,Caffe Mocha,Regular
6/20/2010,14,115,12,Central,OH,Espresso,Decaf Espresso,Decaf
6/24/2010,15,118,24,Central,OH,Coffee,Amaretto,Regular
6/8/2010,16,93,19,Central,OH,Coffee,Columbian,Regular
6/17/2010,17,107,6,Central,OH,Coffee,Decaf Irish Cream,Decaf
6/7/2010,18,44,9,Central,OH,Herbal Tea,Chamomile,Decaf
6/1/2010,19,60,18,Central,OH,Herbal Tea,Lemon,Decaf
6/23/2010,20,99,24,Central,WI,Tea,Darjeeling,Regular
6/1/2010,21,128,2,Central,WI,Tea,Earl Grey,Regular
6/12/2010,22,177,50,Central,WI,Espresso,Caffe Mocha,Regular
6/8/2010,23,110,34,Central,WI,Espresso,Decaf Espresso,Decaf
6/7/2010,0,133,19,Central,WI,Coffee,Amaretto,Regular
6/20/2010,1,264,24,Central,WI,Coffee,Columbian,Regular
6/28/2010,2,212,63,Central,WI,Coffee,Decaf Irish Cream,Decaf
6/1/2010,3,125,40,Central,WI,Herbal Tea,Chamomile,Decaf
6/23/2010,4,144,58,Central,WI,Herbal Tea,Lemon,Decaf
6/24/2010,5,92,33,East,CT,Tea,Darjeeling,Regular
6/28/2010,6,51,15,East,CT,Tea,Green Tea,Regular
6/30/2010,7,128,2,East,CT,Espresso,Caffe Mocha,Regular
6/4/2010,8,108,19,East,CT,Espresso,Decaf Espresso,Decaf
6/16/2010,9,232,79,East,CT,Coffee,Columbian,Regular
6/25/2010,10,169,32,East,CT,Herbal Tea,Lemon,Decaf
6/20/2010,11,142,36,East,CT,Herbal Tea,Mint,Decaf
6/29/2010,12,105,38,East,FL,Tea,Darjeeling,Regular
6/29/2010,13,144,58,East,FL,Tea,Green Tea,Regular
6/29/2010,14,264,25,East,FL,Espresso,Caffe Mocha,Regular
6/3/2010,15,212,63,East,FL,Espresso,Decaf Espresso,Decaf
6/14/2010,16,278,99,East,FL,Coffee,Columbian,Regular
6/10/2010,17,282,105,East,FL,Coffee,Decaf Irish Cream,Decaf
6/5/2010,18,110,35,East,FL,Herbal Tea,Chamomile,Decaf
6/5/2010,19,133,19,East,FL,Herbal Tea,Lemon,Decaf
6/25/2010,20,177,49,East,FL,Herbal Tea,Mint,Decaf
6/16/2010,21,60,19,East,MA,Tea,Darjeeling,Regular
6/29/2010,22,44,10,East,MA,Tea,Green Tea,Regular
6/30/2010,23,111,3,East,MA,Espresso,Caffe Mocha,Regular
6/13/2010,0,298,83,East,MA,Espresso,Regular Espresso,Regular
6/12/2010,1,649,547,East,MA,Coffee,Columbian,Regular
6/7/2010,2,115,12,East,MA,Herbal Tea,Lemon,Decaf
6/14/2010,3,58,17,East,NH,Tea,Darjeeling,Regular
6/8/2010,4,43,32,East,NH,Tea,Green Tea,Regular
6/14/2010,5,125,4,East,NH,Espresso,Caffe Mocha,Regular
6/13/2010,6,78,3,East,NH,Espresso,Regular Espresso,Regular
6/8/2010,7,138,41,East,NH,Coffee,Amaretto,Regular
6/5/2010,8,156,42,East,NH,Coffee,Columbian,Regular
6/13/2010,9,82,0,East,NH,Herbal Tea,Lemon,Decaf
6/16/2010,10,301,133,East,NY,Tea,Darjeeling,Regular
6/10/2010,11,276,121,East,NY,Tea,Earl Grey,Regular
6/21/2010,12,230,99,East,NY,Tea,Green Tea,Regular
6/14/2010,13,72,236,East,NY,Espresso,Caffe Mocha,Regular
6/14/2010,14,675,318,East,NY,Espresso,Regular Espresso,Regular
6/24/2010,15,890,357,East,NY,Coffee,Columbian,Regular
6/25/2010,16,669,263,East,NY,Herbal Tea,Lemon,Decaf
6/23/2010,17,198,143,East,NY,Herbal Tea,Mint,Decaf
6/24/2010,18,99,23,South,LA,Espresso,Decaf Espresso,Decaf
6/16/2010,19,128,3,South,LA,Espresso,Caffe Latte,Regular
6/17/2010,20,125,41,South,LA,Espresso,Caffe Mocha,Regular
6/19/2010,21,111,36,South,LA,Herbal Tea,Chamomile,Decaf
6/3/2010,22,169,32,South,LA,Herbal Tea,Lemon,Decaf
6/8/2010,23,107,40,South,LA,Coffee,Columbian,Regular
6/19/2010,0,144,58,South,LA,Coffee,Decaf Irish Cream,Decaf
6/10/2010,1,96,14,South,NM,Espresso,Decaf Espresso,Decaf
6/24/2010,2,78,3,South,NM,Espresso,Caffe Latte,Regular
6/9/2010,3,125,3,South,NM,Espresso,Caffe Mocha,Regular
6/2/2010,4,58,18,South,NM,Herbal Tea,Chamomile,Decaf
6/9/2010,5,70,8,South,NM,Herbal Tea,Lemon,Decaf
6/17/2010,6,156,43,South,NM,Coffee,Columbian,Regular
6/30/2010,7,141,34,South,NM,Coffee,Decaf Irish Cream,Decaf
6/21/2010,8,278,99,South,OK,Espresso,Decaf Espresso,Decaf
6/22/2010,9,282,105,South,OK,Espresso,Caffe Latte,Regular
6/17/2010,10,44,10,South,OK,Espresso,Caffe Mocha,Regular
6/17/2010,11,133,19,South,OK,Herbal Tea,Chamomile,Decaf
6/27/2010,12,264,25,South,OK,Herbal Tea,Lemon,Decaf
6/12/2010,13,99,29,South,OK,Coffee,Columbian,Regular
6/14/2010,14,60,19,South,OK,Coffee,Decaf Irish Cream,Decaf
6/7/2010,15,230,99,South,TX,Espresso,Decaf Espresso,Decaf
6/23/2010,16,135,33,South,TX,Espresso,Caffe Latte,Regular
6/17/2010,17,276,120,South,TX,Espresso,Caffe Mocha,Regular
6/11/2010,18,118,24,South,TX,Herbal Tea,Chamomile,Decaf
6/22/2010,19,93,20,South,TX,Herbal Tea,Lemon,Decaf
6/4/2010,20,532,192,South,TX,Coffee,Columbian,Regular
6/1/2010,21,190,68,South,TX,Coffee,Decaf Irish Cream,Decaf
6/18/2010,22,89,31,West,UT,Espresso,Caffe Latte,Regular
6/20/2010,23,111,35,West,UT,Espresso,Caffe Mocha,Regular
6/18/2010,0,92,34,West,UT,Espresso,Decaf Espresso,Decaf
6/28/2010,1,142,36,West,UT,Coffee,Amaretto,Regular
6/20/2010,2,108,19,West,UT,Coffee,Columbian,Regular
6/16/2010,3,138,42,West,UT,Herbal Tea,Chamomile,Decaf
6/8/2010,4,156,42,West,UT,Herbal Tea,Lemon,Decaf
6/2/2010,5,141,33,West,UT,Herbal Tea,Mint,Decaf
6/22/2010,6,125,3,West,UT,Tea,Darjeeling,Regular
6/5/2010,7,96,14,West,UT,Tea,Earl Grey,Regular
6/9/2010,8,78,3,West,UT,Tea,Green Tea,Regular
6/8/2010,9,169,32,West,UT,Coffee,Decaf Irish Cream,Decaf
6/17/2010,10,521,165,West,CA,Espresso,Caffe Latte,Regular
6/17/2010,11,345,36,West,CA,Espresso,Caffe Mocha,Regular
6/24/2010,12,634,240,West,CA,Espresso,Decaf Espresso,Decaf
6/27/2010,13,96,113,West,CA,Coffee,Amaretto,Regular
6/24/2010,14,890,357,West,CA,Coffee,Columbian,Regular
6/30/2010,15,301,133,West,CA,Herbal Tea,Chamomile,Decaf
6/6/2010,16,532,192,West,CA,Herbal Tea,Lemon,Decaf
6/28/2010,17,190,67,West,CA,Herbal Tea,Mint,Decaf
6/2/2010,18,276,120,West,CA,Tea,Darjeeling,Regular
6/8/2010,19,230,98,West,CA,Tea,Earl Grey,Regular
6/1/2010,20,135,32,West,CA,Tea,Green Tea,Regular
6/21/2010,21,169,142,West,CA,Coffee,Decaf Irish Cream,Decaf
6/28/2010,22,43,31,West,NV,Espresso,Caffe Latte,Regular
6/18/2010,23,58,18,West,NV,Espresso,Caffe Mocha,Regular
6/5/2010,0,53,15,West,NV,Espresso,Decaf Espresso,Decaf
6/16/2010,1,82,0,West,NV,Coffee,Columbian,Regular
6/18/2010,2,345,37,West,NV,Herbal Tea,Chamomile,Decaf
6/6/2010,3,478,166,West,NV,Herbal Tea,Lemon,Decaf
6/10/2010,4,345,136,West,NV,Herbal Tea,Mint,Decaf
6/22/2010,5,634,241,West,NV,Tea,Darjeeling,Regular
6/17/2010,6,521,165,West,NV,Tea,Earl Grey,Regular
6/5/2010,7,37,369,West,NV,Tea,Green Tea,Regular
6/12/2010,8,70,8,West,NV,Coffee,Decaf Irish Cream,Decaf
6/12/2010,9,115,11,West,OR,Espresso,Caffe Latte,Regular
6/18/2010,10,118,24,West,OR,Espresso,Caffe Mocha,Regular
6/1/2010,11,298,83,West,OR,Espresso,Decaf Espresso,Decaf
6/18/2010,12,107,6,West,OR,Coffee,Amaretto,Regular
6/28/2010,13,112,4,West,OR,Coffee,Columbian,Regular
6/4/2010,14,69,22,West,OR,Herbal Tea,Chamomile,Decaf
6/22/2010,15,99,30,West,OR,Herbal Tea,Lemon,Decaf
6/30/2010,16,44,9,West,OR,Tea,Darjeeling,Regular
6/19/2010,17,278,100,West,OR,Tea,Earl Grey,Regular
6/22/2010,18,282,105,West,OR,Tea,Green Tea,Regular
6/10/2010,19,93,20,West,OR,Coffee,Decaf Irish Cream,Decaf
6/14/2010,20,110,34,West,WA,Espresso,Caffe Latte,Regular
6/2/2010,21,133,18,West,WA,Espresso,Caffe Mocha,Regular
6/12/2010,22,177,49,West,WA,Espresso,Decaf Espresso,Decaf
6/11/2010,23,193,66,West,WA,Coffee,Columbian,Regular
6/9/2010,0,232,79,West,WA,Herbal Tea,Chamomile,Decaf
6/25/2010,1,107,40,West,WA,Herbal Tea,Lemon,Decaf
6/14/2010,2,125,41,West,WA,Tea,Darjeeling,Regular
6/25/2010,3,99,24,West,WA,Tea,Earl Grey,Regular
6/24/2010,4,128,3,West,WA,Tea,Green Tea,Regular
6/9/2010,5,264,24,West,WA,Coffee,Decaf Irish Cream,Decaf
7/3/2010,6,291,81,Central,CO,Herbal Tea,Chamomile,Decaf
7/2/2010,7,95,10,Central,CO,Herbal Tea,Lemon,Decaf
7/20/2010,8,110,21,Central,CO,Herbal Tea,Mint,Decaf
7/14/2010,9,115,12,Central,CO,Tea,Darjeeling,Regular
7/29/2010,10,109,23,Central,CO,Tea,Earl Grey,Regular
7/13/2010,11,94,27,Central,CO,Tea,Green Tea,Regular
7/5/2010,12,230,98,Central,CO,Espresso,Caffe Mocha,Regular
7/17/2010,13,131,31,Central,CO,Espresso,Decaf Espresso,Decaf
7/30/2010,14,312,139,Central,CO,Coffee,Decaf Irish Cream,Decaf
7/21/2010,15,256,111,Central,CO,Coffee,Amaretto,Regular
7/13/2010,16,199,71,Central,CO,Coffee,Columbian,Regular
7/9/2010,17,256,111,Central,IL,Herbal Tea,Chamomile,Decaf
7/27/2010,18,199,72,Central,IL,Herbal Tea,Lemon,Decaf
7/30/2010,19,312,139,Central,IL,Herbal Tea,Mint,Decaf
7/12/2010,20,230,99,Central,IL,Tea,Darjeeling,Regular
7/3/2010,21,131,31,Central,IL,Tea,Earl Grey,Regular
7/6/2010,22,678,259,Central,IL,Espresso,Caffe Mocha,Regular
7/18/2010,23,532,168,Central,IL,Espresso,Decaf Espresso,Decaf
7/6/2010,0,376,150,Central,IL,Coffee,Decaf Irish Cream,Decaf
7/10/2010,1,567,208,Central,IL,Coffee,Columbian,Regular
7/15/2010,2,678,258,Central,IA,Herbal Tea,Chamomile,Decaf
7/11/2010,3,376,150,Central,IA,Herbal Tea,Lemon,Decaf
7/10/2010,4,532,167,Central,IA,Tea,Darjeeling,Regular
7/15/2010,5,602,197,Central,IA,Tea,Earl Grey,Regular
7/8/2010,6,49,13,Central,IA,Espresso,Caffe Mocha,Regular
7/1/2010,7,43,31,Central,IA,Espresso,Decaf Espresso,Decaf
7/21/2010,8,54,12,Central,IA,Coffee,Decaf Irish Cream,Decaf
7/5/2010,9,61,17,Central,IA,Coffee,Amaretto,Regular
7/25/2010,10,75,9,Central,IA,Coffee,Columbian,Regular
7/13/2010,11,141,1,Central,MO,Herbal Tea,Chamomile,Decaf
7/11/2010,12,169,12,Central,MO,Herbal Tea,Lemon,Decaf
7/24/2010,13,103,17,Central,MO,Tea,Darjeeling,Regular
7/24/2010,14,89,1,Central,MO,Tea,Earl Grey,Regular
7/6/2010,15,82,0,Central,MO,Tea,Green Tea,Regular
7/4/2010,16,87,32,Central,MO,Espresso,Caffe Mocha,Regular
7/6/2010,17,96,35,Central,MO,Espresso,Decaf Espresso,Decaf
7/20/2010,18,132,32,Central,MO,Coffee,Decaf Irish Cream,Decaf
7/27/2010,19,169,31,Central,MO,Coffee,Columbian,Regular
7/16/2010,20,44,9,Central,OH,Herbal Tea,Chamomile,Decaf
7/6/2010,21,57,16,Central,OH,Herbal Tea,Lemon,Decaf
7/23/2010,22,286,104,Central,OH,Tea,Darjeeling,Regular
7/29/2010,23,336,128,Central,OH,Tea,Earl Grey,Regular
7/7/2010,0,291,81,Central,OH,Espresso,Caffe Mocha,Regular
7/27/2010,1,115,11,Central,OH,Espresso,Decaf Espresso,Decaf
7/7/2010,2,110,20,Central,OH,Coffee,Amaretto,Regular
7/26/2010,3,85,18,Central,OH,Coffee,Columbian,Regular
7/27/2010,4,95,9,Central,OH,Coffee,Decaf Irish Cream,Decaf
7/17/2010,5,104,29,Central,WI,Herbal Tea,Chamomile,Decaf
7/15/2010,6,144,58,Central,WI,Herbal Tea,Lemon,Decaf
7/28/2010,7,90,21,Central,WI,Tea,Darjeeling,Regular
7/3/2010,8,113,6,Central,WI,Tea,Earl Grey,Regular
7/16/2010,9,189,56,Central,WI,Espresso,Caffe Mocha,Regular
7/20/2010,10,115,36,Central,WI,Espresso,Decaf Espresso,Decaf
7/23/2010,11,133,18,Central,WI,Coffee,Amaretto,Regular
7/8/2010,12,297,32,Central,WI,Coffee,Columbian,Regular
7/1/2010,13,227,71,Central,WI,Coffee,Decaf Irish Cream,Decaf
7/5/2010,14,87,32,East,CT,Tea,Darjeeling,Regular
7/24/2010,15,51,15,East,CT,Tea,Green Tea,Regular
7/31/2010,16,169,32,East,CT,Herbal Tea,Lemon,Decaf
7/12/2010,17,132,33,East,CT,Herbal Tea,Mint,Decaf
7/31/2010,18,113,5,East,CT,Espresso,Caffe Mocha,Regular
7/11/2010,19,100,16,East,CT,Espresso,Decaf Espresso,Decaf
7/5/2010,20,225,75,East,CT,Coffee,Columbian,Regular
7/12/2010,21,110,41,East,FL,Tea,Darjeeling,Regular
7/18/2010,22,144,58,East,FL,Tea,Green Tea,Regular
7/20/2010,23,115,36,East,FL,Herbal Tea,Chamomile,Decaf
7/17/2010,0,133,19,East,FL,Herbal Tea,Lemon,Decaf
7/10/2010,1,189,55,East,FL,Herbal Tea,Mint,Decaf
7/5/2010,2,297,32,East,FL,Espresso,Caffe Mocha,Regular
7/5/2010,3,227,71,East,FL,Espresso,Decaf Espresso,Decaf
7/5/2010,4,286,104,East,FL,Coffee,Columbian,Regular
7/23/2010,5,336,129,East,FL,Coffee,Decaf Irish Cream,Decaf
7/15/2010,6,57,16,East,MA,Tea,Darjeeling,Regular
7/4/2010,7,44,9,East,MA,Tea,Green Tea,Regular
7/22/2010,8,115,11,East,MA,Herbal Tea,Lemon,Decaf
7/6/2010,9,111,7,East,MA,Espresso,Caffe Mocha,Regular
7/25/2010,10,291,81,East,MA,Espresso,Regular Espresso,Regular
7/16/2010,11,665,564,East,MA,Coffee,Columbian,Regular
7/18/2010,12,61,17,East,NH,Tea,Darjeeling,Regular
7/7/2010,13,43,31,East,NH,Tea,Green Tea,Regular
7/25/2010,14,82,0,East,NH,Herbal Tea,Lemon,Decaf
7/17/2010,15,141,1,East,NH,Espresso,Caffe Mocha,Regular
7/18/2010,16,89,0,East,NH,Espresso,Regular Espresso,Regular
7/14/2010,17,151,49,East,NH,Coffee,Amaretto,Regular
7/23/2010,18,160,43,East,NH,Coffee,Columbian,Regular
7/3/2010,19,312,138,East,NY,Tea,Darjeeling,Regular
7/19/2010,20,256,111,East,NY,Tea,Earl Grey,Regular
7/27/2010,21,230,98,East,NY,Tea,Green Tea,Regular
7/14/2010,22,793,388,East,NY,Herbal Tea,Lemon,Decaf
7/21/2010,23,198,164,East,NY,Herbal Tea,Mint,Decaf
7/10/2010,0,546,182,East,NY,Espresso,Regular Espresso,Regular
7/19/2010,1,77,266,East,NY,Espresso,Caffe Mocha,Regular
7/9/2010,2,912,370,East,NY,Coffee,Columbian,Regular
7/25/2010,3,144,58,South,LA,Coffee,Decaf Irish Cream,Decaf
7/25/2010,4,99,36,South,LA,Coffee,Columbian,Regular
7/30/2010,5,106,32,South,LA,Herbal Tea,Chamomile,Decaf
7/14/2010,6,169,31,South,LA,Herbal Tea,Lemon,Decaf
7/15/2010,7,113,6,South,LA,Espresso,Caffe Latte,Regular
7/19/2010,8,104,30,South,LA,Espresso,Caffe Mocha,Regular
7/27/2010,9,90,21,South,LA,Espresso,Decaf Espresso,Decaf
7/1/2010,10,169,11,South,NM,Coffee,Decaf Irish Cream,Decaf
7/6/2010,11,160,44,South,NM,Coffee,Columbian,Regular
7/30/2010,12,61,17,South,NM,Herbal Tea,Chamomile,Decaf
7/30/2010,13,75,10,South,NM,Herbal Tea,Lemon,Decaf
7/15/2010,14,89,1,South,NM,Espresso,Caffe Latte,Regular
7/26/2010,15,141,1,South,NM,Espresso,Caffe Mocha,Regular
7/29/2010,16,103,18,South,NM,Espresso,Decaf Espresso,Decaf
7/21/2010,17,57,16,South,OK,Coffee,Decaf Irish Cream,Decaf
7/12/2010,18,94,28,South,OK,Coffee,Columbian,Regular
7/13/2010,19,297,32,South,OK,Herbal Tea,Lemon,Decaf
7/14/2010,20,133,19,South,OK,Herbal Tea,Chamomile,Decaf
7/22/2010,21,336,128,South,OK,Espresso,Caffe Latte,Regular
7/15/2010,22,44,9,South,OK,Espresso,Caffe Mocha,Regular
7/30/2010,23,286,103,South,OK,Espresso,Decaf Espresso,Decaf
7/11/2010,0,199,71,South,TX,Coffee,Decaf Irish Cream,Decaf
7/11/2010,1,567,206,South,TX,Coffee,Columbian,Regular
7/28/2010,2,85,19,South,TX,Herbal Tea,Lemon,Decaf
7/17/2010,3,110,20,South,TX,Herbal Tea,Chamomile,Decaf
7/24/2010,4,131,30,South,TX,Espresso,Caffe Latte,Regular
7/4/2010,5,256,112,South,TX,Espresso,Caffe Mocha,Regular
7/15/2010,6,230,98,South,TX,Espresso,Decaf Espresso,Decaf
7/3/2010,7,132,32,West,UT,Coffee,Amaretto,Regular
7/21/2010,8,100,16,West,UT,Coffee,Columbian,Regular
7/22/2010,9,151,48,West,UT,Herbal Tea,Chamomile,Decaf
7/29/2010,10,160,44,West,UT,Herbal Tea,Lemon,Decaf
7/21/2010,11,169,12,West,UT,Herbal Tea,Mint,Decaf
7/22/2010,12,141,0,West,UT,Tea,Darjeeling,Regular
7/27/2010,13,103,17,West,UT,Tea,Earl Grey,Regular
7/15/2010,14,89,1,West,UT,Tea,Green Tea,Regular
7/15/2010,15,169,31,West,UT,Coffee,Decaf Irish Cream,Decaf
7/25/2010,16,96,36,West,UT,Espresso,Caffe Latte,Regular
7/26/2010,17,106,32,West,UT,Espresso,Caffe Mocha,Regular
7/6/2010,18,87,31,West,UT,Espresso,Decaf Espresso,Decaf
7/1/2010,19,87,138,West,CA,Coffee,Amaretto,Regular
7/2/2010,20,912,370,West,CA,Coffee,Columbian,Regular
7/5/2010,21,312,139,West,CA,Herbal Tea,Chamomile,Decaf
7/6/2010,22,567,205,West,CA,Herbal Tea,Lemon,Decaf
7/20/2010,23,199,72,West,CA,Herbal Tea,Mint,Decaf
7/1/2010,0,256,112,West,CA,Tea,Darjeeling,Regular
7/15/2010,1,230,98,West,CA,Tea,Earl Grey,Regular
7/22/2010,2,131,30,West,CA,Tea,Green Tea,Regular
7/4/2010,3,202,157,West,CA,Coffee,Decaf Irish Cream,Decaf
7/8/2010,4,532,167,West,CA,Espresso,Caffe Latte,Regular
7/9/2010,5,387,45,West,CA,Espresso,Caffe Mocha,Regular
7/6/2010,6,678,259,West,CA,Espresso,Decaf Espresso,Decaf
7/11/2010,7,82,1,West,NV,Coffee,Columbian,Regular
7/25/2010,8,387,45,West,NV,Herbal Tea,Chamomile,Decaf
7/10/2010,9,567,208,West,NV,Herbal Tea,Lemon,Decaf
7/25/2010,10,376,150,West,NV,Herbal Tea,Mint,Decaf
7/18/2010,11,678,258,West,NV,Tea,Darjeeling,Regular
7/18/2010,12,532,168,West,NV,Tea,Earl Grey,Regular
7/23/2010,13,27,378,West,NV,Tea,Green Tea,Regular
7/24/2010,14,75,9,West,NV,Coffee,Decaf Irish Cream,Decaf
7/28/2010,15,43,32,West,NV,Espresso,Caffe Latte,Regular
7/5/2010,16,61,17,West,NV,Espresso,Caffe Mocha,Regular
7/25/2010,17,49,12,West,NV,Espresso,Decaf Espresso,Decaf
7/6/2010,18,95,10,West,OR,Coffee,Amaretto,Regular
7/1/2010,19,94,0,West,OR,Coffee,Columbian,Regular
7/4/2010,20,74,24,West,OR,Herbal Tea,Chamomile,Decaf
7/5/2010,21,94,27,West,OR,Herbal Tea,Lemon,Decaf
7/4/2010,22,44,9,West,OR,Tea,Darjeeling,Regular
7/29/2010,23,286,104,West,OR,Tea,Earl Grey,Regular
7/9/2010,0,336,129,West,OR,Tea,Green Tea,Regular
7/30/2010,1,85,18,West,OR,Coffee,Decaf Irish Cream,Decaf
7/20/2010,2,115,12,West,OR,Espresso,Caffe Latte,Regular
7/28/2010,3,110,20,West,OR,Espresso,Caffe Mocha,Regular
7/12/2010,4,291,81,West,OR,Espresso,Decaf Espresso,Decaf
7/8/2010,5,225,75,West,WA,Herbal Tea,Chamomile,Decaf
7/6/2010,6,99,37,West,WA,Herbal Tea,Lemon,Decaf
7/17/2010,7,104,29,West,WA,Tea,Darjeeling,Regular
7/8/2010,8,90,20,West,WA,Tea,Earl Grey,Regular
7/10/2010,9,113,5,West,WA,Tea,Green Tea,Regular
7/1/2010,10,211,75,West,WA,Coffee,Columbian,Regular
7/19/2010,11,297,31,West,WA,Coffee,Decaf Irish Cream,Decaf
7/30/2010,12,115,36,West,WA,Espresso,Caffe Latte,Regular
7/27/2010,13,133,18,West,WA,Espresso,Caffe Mocha,Regular
7/1/2010,14,189,56,West,WA,Espresso,Decaf Espresso,Decaf
8/20/2010,15,291,82,Central,CO,Herbal Tea,Chamomile,Decaf
8/12/2010,16,89,10,Central,CO,Herbal Tea,Lemon,Decaf
8/4/2010,17,108,20,Central,CO,Herbal Tea,Mint,Decaf
8/17/2010,18,109,9,Central,CO,Tea,Darjeeling,Regular
8/13/2010,19,91,16,Central,CO,Tea,Earl Grey,Regular
8/17/2010,20,155,53,Central,CO,Tea,Green Tea,Regular
8/28/2010,21,245,105,Central,CO,Espresso,Caffe Mocha,Regular
8/5/2010,22,131,30,Central,CO,Espresso,Decaf Espresso,Decaf
8/14/2010,23,323,144,Central,CO,Coffee,Decaf Irish Cream,Decaf
8/2/2010,0,301,133,Central,CO,Coffee,Amaretto,Regular
8/12/2010,1,120,39,Central,CO,Coffee,Columbian,Regular
8/23/2010,2,301,132,Central,IL,Herbal Tea,Chamomile,Decaf
8/3/2010,3,120,39,Central,IL,Herbal Tea,Lemon,Decaf
8/21/2010,4,323,143,Central,IL,Herbal Tea,Mint,Decaf
8/10/2010,5,245,105,Central,IL,Tea,Darjeeling,Regular
8/19/2010,6,131,30,Central,IL,Tea,Earl Grey,Regular
8/5/2010,7,687,262,Central,IL,Espresso,Caffe Mocha,Regular
8/14/2010,8,532,167,Central,IL,Espresso,Decaf Espresso,Decaf
8/1/2010,9,376,150,Central,IL,Coffee,Decaf Irish Cream,Decaf
8/8/2010,10,467,163,Central,IL,Coffee,Columbian,Regular
8/9/2010,11,687,262,Central,IA,Herbal Tea,Chamomile,Decaf
8/16/2010,12,376,151,Central,IA,Herbal Tea,Lemon,Decaf
8/7/2010,13,532,167,Central,IA,Tea,Darjeeling,Regular
8/11/2010,14,632,207,Central,IA,Tea,Earl Grey,Regular
8/24/2010,15,58,18,Central,IA,Espresso,Caffe Mocha,Regular
8/13/2010,16,43,31,Central,IA,Espresso,Decaf Espresso,Decaf
8/2/2010,17,90,15,Central,IA,Coffee,Columbian,Regular
8/13/2010,18,32,1,Central,IA,Coffee,Decaf Irish Cream,Decaf
8/15/2010,19,63,19,Central,IA,Coffee,Amaretto,Regular
8/26/2010,20,151,2,Central,MO,Herbal Tea,Chamomile,Decaf
8/10/2010,21,139,41,Central,MO,Herbal Tea,Lemon,Decaf
8/26/2010,22,105,19,Central,MO,Tea,Darjeeling,Regular
8/18/2010,23,65,9,Central,MO,Tea,Earl Grey,Regular
8/2/2010,0,86,1,Central,MO,Tea,Green Tea,Regular
8/9/2010,1,83,29,Central,MO,Espresso,Caffe Mocha,Regular
8/19/2010,2,80,28,Central,MO,Espresso,Decaf Espresso,Decaf
8/15/2010,3,160,27,Central,MO,Coffee,Columbian,Regular
8/7/2010,4,110,24,Central,MO,Coffee,Decaf Irish Cream,Decaf
8/8/2010,5,41,9,Central,OH,Herbal Tea,Chamomile,Decaf
8/25/2010,6,55,16,Central,OH,Herbal Tea,Lemon,Decaf
8/20/2010,7,286,103,Central,OH,Tea,Darjeeling,Regular
8/5/2010,8,277,103,Central,OH,Tea,Earl Grey,Regular
8/23/2010,9,291,81,Central,OH,Espresso,Caffe Mocha,Regular
8/13/2010,10,109,8,Central,OH,Espresso,Decaf Espresso,Decaf
8/15/2010,11,108,19,Central,OH,Coffee,Amaretto,Regular
8/22/2010,12,85,19,Central,OH,Coffee,Columbian,Regular
8/13/2010,13,89,11,Central,OH,Coffee,Decaf Irish Cream,Decaf
8/1/2010,14,126,41,Central,WI,Herbal Tea,Chamomile,Decaf
